Fecha,Temperatura_C,Voltaje_V,Eficiencia_%,Alarma
2025-06-07,64.6,222.9,93.27,error: compile error
2025-06-13,66.9,203.0,83.83,error: compile error
2025-06-02,75.8,218.5,92.37,error: compile error
2025-06-12,69.4,221.1,93.24,error: compile error
2025-06-15,73.2,223.2,77.37,error: compile error
2025-06-12,65.3,202.3,82.5,error: compile error
2025-06-17,75.7,239.7,79.37,error: compile error
2025-06-05,76.8,220.2,76.6,error: compile error
2025-06-14,79.8,218.2,81.88,error: compile error
2025-06-17,68.4,219.2,88.5,error: compile error
2025-06-13,74.4,235.3,77.93,error: compile error
2025-06-09,75.3,212.4,93.54,error: compile error
2025-06-10,65.6,211.8,77.91,error: compile error
2025-06-10,65.0,223.9,70.62,error: compile error
2025-06-01,77.0,225.3,91.2,error: compile error
2025-06-10,60.3,202.1,82.79,error: compile error
2025-06-12,71.3,221.7,71.96,error: compile error
2025-06-07,69.3,202.7,82.85,error: compile error
2025-06-05,71.8,205.6,88.17,error: compile error
2025-06-13,68.6,200.0,85.06,error: compile error
2025-06-06,68.6,232.5,91.82,error: compile error
2025-06-05,60.2,232.1,75.06,error: compile error
2025-06-05,63.5,239.6,87.96,error: compile error
2025-06-05,74.9,213.0,82.92,error: compile error
2025-06-13,77.4,226.2,76.55,error: compile error
2025-06-01,62.3,215.8,85.49,error: compile error
2025-06-17,76.6,203.0,87.03,error: compile error
2025-06-01,75.1,231.3,79.89,error: compile error
2025-06-02,76.1,214.2,74.16,error: compile error
2025-06-04,78.4,221.9,80.73,error: compile error
2025-06-14,61.3,213.5,89.05,error: compile error
2025-06-09,76.1,200.1,83.99,error: compile error
2025-06-07,67.5,225.4,92.94,error: compile error
2025-06-10,60.4,213.6,74.23,error: compile error
2025-06-05,71.4,203.4,73.6,error: compile error
2025-06-11,69.7,212.9,88.61,error: compile error
2025-06-10,61.6,200.5,74.25,error: compile error
2025-06-01,60.9,238.8,92.48,error: compile error
2025-06-02,72.5,230.3,79.86,error: compile error
2025-06-15,79.0,234.3,80.88,error: compile error
2025-06-10,64.3,240.0,83.44,error: compile error
2025-06-14,68.1,229.9,94.73,error: compile error
2025-06-13,62.1,234.5,89.0,error: compile error
2025-06-16,78.5,214.3,79.06,error: compile error
2025-06-02,63.4,221.1,83.0,error: compile error
2025-06-11,68.4,204.1,77.52,error: compile error
2025-06-12,65.8,207.0,85.76,error: compile error
2025-06-15,65.3,225.6,86.41,error: compile error
2025-06-17,62.6,211.8,83.39,error: compile error
2025-06-04,70.7,232.4,89.46,error: compile error
2025-06-09,76.5,201.9,93.19,error: compile error
2025-06-12,70.1,238.4,87.6,error: compile error
2025-06-02,71.8,204.7,80.92,error: compile error
2025-06-12,71.0,206.9,86.25,error: compile error
2025-06-12,69.6,225.2,91.56,error: compile error
2025-06-10,73.5,226.6,91.97,error: compile error
2025-06-03,62.0,236.5,76.98,error: compile error
2025-06-09,78.9,211.2,82.63,error: compile error
2025-06-03,60.3,226.4,76.5,error: compile error
2025-06-17,79.3,212.0,80.45,error: compile error
2025-06-17,69.8,223.4,92.02,error: compile error
2025-06-16,67.2,211.9,80.96,error: compile error
2025-06-14,61.7,219.4,89.07,error: compile error
2025-06-05,73.3,239.2,74.47,error: compile error
2025-06-01,75.3,201.4,89.66,error: compile error
2025-06-07,73.7,232.1,79.08,error: compile error
2025-06-17,64.6,204.1,92.38,error: compile error
2025-06-14,64.1,228.3,73.79,error: compile error
2025-06-10,64.2,229.5,92.18,error: compile error
2025-06-03,60.1,229.8,93.24,error: compile error
2025-06-11,71.5,218.6,72.39,error: compile error
2025-06-09,70.9,201.6,93.53,error: compile error
2025-06-06,68.0,202.1,91.47,error: compile error
2025-06-12,67.3,212.3,76.03,error: compile error
2025-06-11,66.8,221.6,93.25,error: compile error
2025-06-15,69.4,236.7,81.79,error: compile error
2025-06-03,67.8,228.9,77.47,error: compile error
2025-06-17,68.2,227.9,80.09,error: compile error
2025-06-17,77.6,224.8,92.41,error: compile error
2025-06-01,78.8,223.9,86.63,error: compile error
2025-06-14,62.2,228.0,94.7,error: compile error
2025-06-15,61.1,206.6,75.26,error: compile error
2025-06-10,73.2,229.5,84.21,error: compile error
2025-06-06,66.8,217.9,85.38,error: compile error
2025-06-01,79.7,231.4,87.03,error: compile error
2025-06-11,66.1,203.4,80.6,error: compile error
2025-06-12,62.6,232.3,84.16,error: compile error
2025-06-12,61.6,200.1,82.54,error: compile error
2025-06-16,75.8,239.2,75.6,error: compile error
2025-06-16,79.9,218.5,87.21,error: compile error
2025-06-05,61.0,213.1,90.45,error: compile error
2025-06-08,76.4,210.6,72.2,error: compile error
2025-06-15,72.2,202.7,84.18,error: compile error
2025-06-16,65.6,227.4,85.88,error: compile error
2025-06-09,73.7,221.1,82.29,error: compile error
2025-06-12,76.3,213.9,94.77,error: compile error
2025-06-02,69.6,220.5,89.41,error: compile error
2025-06-16,79.6,201.8,93.16,error: compile error
2025-06-14,63.1,230.8,75.17,error: compile error
2025-06-11,71.6,232.6,78.74,error: compile error
2025-06-02,69.8,232.5,71.67,error: compile error
2025-06-08,70.8,223.9,91.75,error: compile error
2025-06-01,66.2,212.3,85.8,error: compile error
2025-06-06,74.5,216.2,85.47,error: compile error
2025-06-09,69.2,204.3,80.48,error: compile error
2025-06-15,70.6,214.5,78.09,error: compile error
2025-06-12,70.2,211.5,84.02,error: compile error
2025-06-02,62.2,234.7,90.03,error: compile error
2025-06-11,69.5,222.0,93.47,error: compile error
2025-06-17,79.3,211.2,75.14,error: compile error
2025-06-05,75.3,233.7,80.36,error: compile error
2025-06-06,65.3,212.6,75.96,error: compile error
2025-06-05,74.5,223.7,93.43,error: compile error
2025-06-15,61.3,216.3,78.88,error: compile error
2025-06-17,61.2,228.5,72.49,error: compile error
2025-06-02,68.6,202.7,86.36,error: compile error
2025-06-08,64.3,231.4,83.11,error: compile error
2025-06-06,72.1,215.7,92.96,error: compile error
2025-06-09,61.2,207.2,81.16,error: compile error
2025-06-15,67.0,216.5,71.19,error: compile error
2025-06-07,67.8,219.8,72.38,error: compile error
2025-06-12,60.1,214.0,93.27,error: compile error
2025-06-09,72.6,235.0,84.88,error: compile error
2025-06-04,73.0,212.8,73.61,error: compile error
2025-06-16,78.7,215.5,76.15,error: compile error
2025-06-09,60.2,229.3,71.85,error: compile error
2025-06-08,78.1,220.0,77.52,error: compile error
2025-06-02,69.5,230.8,92.67,error: compile error
2025-06-12,71.1,211.4,75.61,error: compile error
2025-06-09,70.3,232.7,80.3,error: compile error
2025-06-02,72.5,239.7,93.21,error: compile error
2025-06-09,60.7,201.6,79.05,error: compile error
2025-06-10,73.9,202.0,93.86,error: compile error
2025-06-05,66.3,227.2,94.64,error: compile error
2025-06-12,68.4,208.8,92.56,error: compile error
2025-06-17,73.0,205.6,72.86,error: compile error
2025-06-16,68.1,209.9,74.7,error: compile error
2025-06-17,76.1,229.8,75.69,error: compile error
2025-06-11,61.6,215.5,79.13,error: compile error
2025-06-12,75.2,224.7,77.31,error: compile error
2025-06-02,74.5,233.9,74.43,error: compile error
2025-06-09,64.7,238.0,71.58,error: compile error
2025-06-13,64.4,227.6,74.61,error: compile error
2025-06-15,67.1,219.0,73.64,error: compile error
2025-06-13,73.1,233.4,89.29,error: compile error
2025-06-17,79.1,224.0,72.42,error: compile error
2025-06-07,73.1,218.8,90.6,error: compile error
2025-06-16,72.7,236.2,92.35,error: compile error
2025-06-03,75.3,208.5,83.73,error: compile error
2025-06-14,75.9,204.1,74.29,error: compile error
2025-06-04,61.7,207.0,94.07,error: compile error
2025-06-12,71.9,223.9,74.43,error: compile error
2025-06-15,63.3,207.8,78.05,error: compile error
2025-06-15,62.6,226.3,85.36,error: compile error
2025-06-14,73.4,227.2,74.59,error: compile error
2025-06-12,71.8,235.0,84.68,error: compile error
2025-06-04,68.6,217.7,70.72,error: compile error
2025-06-06,74.2,217.4,71.71,error: compile error
2025-06-14,63.7,201.8,76.21,error: compile error
2025-06-05,75.1,231.5,84.05,error: compile error
2025-06-16,75.3,217.7,90.89,error: compile error
2025-06-02,73.6,208.0,81.63,error: compile error
2025-06-05,64.7,224.9,70.31,error: compile error
2025-06-01,71.0,215.8,89.16,error: compile error
2025-06-02,68.6,204.6,79.82,error: compile error
2025-06-01,77.0,201.9,72.42,error: compile error
2025-06-08,66.2,217.9,73.09,error: compile error
2025-06-12,67.5,223.4,78.6,error: compile error
2025-06-08,75.8,215.9,73.3,error: compile error
2025-06-11,69.5,218.1,89.61,error: compile error
2025-06-08,78.2,215.8,89.05,error: compile error
2025-06-02,60.3,215.5,87.86,error: compile error
2025-06-14,73.4,201.3,80.95,error: compile error
2025-06-06,75.2,217.8,72.26,error: compile error
2025-06-01,73.2,207.1,83.67,error: compile error
2025-06-15,72.0,230.8,85.26,error: compile error
2025-06-12,62.3,223.6,75.95,error: compile error
2025-06-14,71.6,212.9,87.35,error: compile error
2025-06-09,68.3,233.5,90.74,error: compile error
2025-06-12,60.0,200.4,72.08,error: compile error
2025-06-17,76.9,232.9,84.54,error: compile error
2025-06-13,72.8,237.5,92.65,error: compile error
2025-06-14,79.8,230.7,93.85,error: compile error
2025-06-02,67.1,207.4,72.94,error: compile error
2025-06-14,64.4,210.8,80.16,error: compile error
2025-06-14,63.1,205.6,77.72,error: compile error
2025-06-05,78.5,237.4,88.34,error: compile error
2025-06-17,71.1,231.6,74.21,error: compile error
2025-06-01,62.5,234.6,83.91,error: compile error
2025-06-14,63.0,200.1,80.87,error: compile error
2025-06-14,63.6,211.2,70.2,error: compile error
2025-06-12,64.5,209.8,93.35,error: compile error
2025-06-12,76.1,227.9,87.52,error: compile error
2025-06-06,74.5,229.6,73.43,error: compile error
2025-06-13,68.3,216.8,71.85,error: compile error
2025-06-12,69.6,231.9,70.35,error: compile error
2025-06-06,62.6,210.1,91.0,error: compile error
2025-06-11,74.0,205.0,91.33,error: compile error
2025-06-01,73.8,210.3,88.26,error: compile error
2025-06-12,61.7,225.2,77.09,error: compile error
2025-06-09,62.5,225.5,76.46,error: compile error
2025-06-09,64.0,220.0,78.69,error: compile error
2025-06-06,78.3,224.8,76.15,error: compile error
2025-06-02,71.1,239.8,84.42,error: compile error
2025-06-17,74.3,238.3,92.72,error: compile error
2025-06-12,77.3,234.4,79.84,error: compile error
2025-06-08,78.8,227.8,71.86,error: compile error
2025-06-05,69.0,209.6,89.26,error: compile error
2025-06-11,79.2,220.3,76.17,error: compile error
2025-06-02,76.5,219.0,76.9,error: compile error
2025-06-11,60.9,231.0,77.63,error: compile error
2025-06-10,72.5,227.3,75.82,error: compile error
2025-06-10,72.0,218.8,87.92,error: compile error
2025-06-06,65.9,229.5,84.91,error: compile error
2025-06-14,69.2,211.8,76.39,error: compile error
2025-06-03,60.9,225.3,79.47,error: compile error
2025-06-03,60.0,225.2,89.35,error: compile error
2025-06-05,72.9,226.7,75.67,error: compile error
2025-06-17,75.3,220.7,92.15,error: compile error
2025-06-15,74.2,232.3,76.68,error: compile error
2025-06-15,74.2,234.4,94.46,error: compile error
2025-06-07,63.8,238.4,84.35,error: compile error
2025-06-16,75.6,209.8,79.79,error: compile error
2025-06-14,64.9,219.6,85.63,error: compile error
2025-06-15,60.2,201.7,94.32,error: compile error
2025-06-13,63.4,225.5,80.18,error: compile error
2025-06-10,71.6,215.0,82.75,error: compile error
2025-06-04,68.4,233.5,92.89,error: compile error
2025-06-16,68.8,202.1,93.35,error: compile error
2025-06-16,73.0,208.4,82.4,error: compile error
2025-06-03,77.8,220.6,86.89,error: compile error
2025-06-12,69.3,215.0,77.43,error: compile error
2025-06-11,67.6,227.1,72.02,error: compile error
2025-06-15,64.3,231.6,88.87,error: compile error
2025-06-01,75.3,209.7,89.98,error: compile error
2025-06-17,61.5,225.8,88.46,error: compile error
2025-06-03,67.7,215.4,85.95,error: compile error
2025-06-06,71.0,216.5,80.09,error: compile error
2025-06-09,77.0,222.6,94.56,error: compile error
2025-06-15,74.7,220.7,73.92,error: compile error
2025-06-06,70.3,233.7,84.11,error: compile error
2025-06-07,78.2,213.8,73.6,error: compile error
2025-06-02,63.9,227.2,79.53,error: compile error
2025-06-06,79.7,230.5,80.13,error: compile error
2025-06-17,70.6,217.0,92.54,error: compile error
2025-06-04,67.7,235.2,82.21,error: compile error
2025-06-04,65.8,236.4,86.82,error: compile error
2025-06-13,60.7,227.2,92.29,error: compile error
2025-06-14,71.2,210.6,94.61,error: compile error
2025-06-02,68.2,209.2,72.87,error: compile error
2025-06-03,72.9,204.5,79.71,error: compile error
2025-06-13,67.2,201.1,81.6,error: compile error
2025-06-14,77.6,235.6,80.24,error: compile error
2025-06-06,69.1,218.8,72.9,error: compile error
2025-06-02,68.9,208.1,92.54,error: compile error
2025-06-16,76.0,213.0,83.17,error: compile error
2025-06-08,72.0,209.5,80.01,error: compile error
2025-06-11,63.4,230.5,71.47,error: compile error
2025-06-04,75.8,205.9,85.03,error: compile error
2025-06-15,67.8,217.8,90.35,error: compile error
2025-06-16,61.5,200.5,83.64,error: compile error
2025-06-06,64.2,222.0,81.42,error: compile error
2025-06-03,62.9,216.8,76.9,error: compile error
2025-06-08,79.2,202.4,92.57,error: compile error
2025-06-05,73.8,217.3,93.4,error: compile error
2025-06-12,69.8,224.4,91.18,error: compile error
2025-06-10,71.9,204.6,82.01,error: compile error
2025-06-11,65.0,205.3,75.2,error: compile error
2025-06-02,77.4,236.0,82.94,error: compile error
2025-06-06,66.8,209.8,72.35,error: compile error
2025-06-06,68.3,221.9,71.85,error: compile error
2025-06-08,67.2,216.5,71.61,error: compile error
2025-06-13,67.5,225.0,71.42,error: compile error
2025-06-12,60.0,230.8,76.58,error: compile error
2025-06-02,75.0,218.2,76.91,error: compile error
2025-06-16,70.2,235.0,93.83,error: compile error
2025-06-13,72.8,239.9,87.41,error: compile error
2025-06-08,78.8,223.6,89.07,error: compile error
2025-06-11,69.8,234.4,93.81,error: compile error
2025-06-13,62.5,200.4,75.31,error: compile error
2025-06-05,64.3,240.0,87.22,error: compile error
2025-06-11,73.0,209.0,78.69,error: compile error
2025-06-08,69.2,228.5,83.2,error: compile error
2025-06-13,74.8,206.4,83.89,error: compile error
2025-06-02,76.2,218.5,90.83,error: compile error
2025-06-06,74.7,216.7,84.98,error: compile error
2025-06-08,76.3,225.9,94.51,error: compile error
2025-06-01,68.8,208.9,86.41,error: compile error
2025-06-10,61.3,233.6,73.75,error: compile error
2025-06-02,67.6,224.6,91.45,error: compile error
2025-06-14,71.9,202.2,91.52,error: compile error
2025-06-09,73.4,203.1,93.57,error: compile error
2025-06-09,79.5,228.4,89.44,error: compile error
2025-06-17,70.2,234.9,81.26,error: compile error
2025-06-02,79.1,218.1,78.78,error: compile error
2025-06-10,66.6,227.5,70.71,error: compile error
2025-06-16,74.9,202.2,83.33,error: compile error
2025-06-12,76.1,235.1,79.04,error: compile error
2025-06-12,72.6,203.8,81.92,error: compile error
2025-06-02,74.4,237.4,81.48,error: compile error
2025-06-05,76.9,205.4,91.55,error: compile error
2025-06-12,65.7,238.6,87.62,error: compile error
2025-06-14,78.9,228.7,83.18,error: compile error
2025-06-13,77.5,233.2,81.59,error: compile error
2025-06-10,78.3,217.5,75.35,error: compile error
2025-06-13,66.2,225.3,74.0,error: compile error
2025-06-04,64.8,213.5,81.7,error: compile error
2025-06-13,72.6,223.2,73.44,error: compile error
2025-06-04,63.6,237.3,71.29,error: compile error
2025-06-17,69.4,203.9,91.98,error: compile error
2025-06-06,74.1,238.5,84.17,error: compile error
2025-06-07,66.0,206.9,85.27,error: compile error
2025-06-15,66.8,231.5,90.34,error: compile error
2025-06-06,74.5,210.0,70.56,error: compile error
2025-06-04,76.3,238.4,77.25,error: compile error
2025-06-04,70.1,214.9,92.52,error: compile error
2025-06-13,77.1,205.9,71.27,error: compile error
2025-06-13,61.2,200.0,73.4,error: compile error
2025-06-13,66.9,237.1,86.82,error: compile error
2025-06-07,77.9,215.6,91.11,error: compile error
2025-06-05,66.6,235.8,70.5,error: compile error
2025-06-06,74.8,205.2,86.38,error: compile error
2025-06-04,73.3,215.2,89.82,error: compile error
2025-06-16,72.0,224.6,77.14,error: compile error
2025-06-17,75.3,202.8,86.44,error: compile error
2025-06-10,74.8,229.8,71.23,error: compile error
2025-06-03,60.9,207.3,92.69,error: compile error
2025-06-17,77.2,213.7,81.39,error: compile error
2025-06-04,60.9,220.7,91.05,error: compile error
2025-06-16,73.0,231.4,82.72,error: compile error
2025-06-13,78.8,212.5,76.79,error: compile error
2025-06-07,60.4,209.7,74.09,error: compile error
2025-06-07,76.0,209.4,94.45,error: compile error
2025-06-11,79.7,211.4,88.38,error: compile error
2025-06-09,74.3,236.5,86.3,error: compile error
2025-06-05,67.0,231.6,82.19,error: compile error
2025-06-03,71.9,202.6,85.87,error: compile error
2025-06-15,76.2,219.2,75.35,error: compile error
2025-06-08,74.2,218.0,83.36,error: compile error
2025-06-10,75.0,223.2,94.74,error: compile error
2025-06-15,61.4,217.6,92.42,error: compile error
2025-06-11,66.8,235.5,75.6,error: compile error
2025-06-04,74.5,219.2,74.72,error: compile error
2025-06-03,61.0,233.5,93.11,error: compile error
2025-06-11,68.9,213.7,93.98,error: compile error
2025-06-08,66.7,234.0,78.03,error: compile error
2025-06-08,76.5,205.8,75.87,error: compile error
2025-06-04,64.9,207.0,92.63,error: compile error
2025-06-16,73.6,224.9,71.69,error: compile error
2025-06-09,67.8,212.7,84.94,error: compile error
2025-06-10,61.0,212.6,85.1,error: compile error
2025-06-15,69.2,227.4,76.62,error: compile error
2025-06-06,65.7,237.0,86.38,error: compile error
2025-06-06,64.1,233.7,70.74,error: compile error
2025-06-02,62.7,205.9,85.37,error: compile error
2025-06-10,60.7,238.9,93.77,error: compile error
2025-06-16,60.1,228.6,73.86,error: compile error
2025-06-15,68.8,233.5,89.89,error: compile error
2025-06-06,76.8,214.5,72.94,error: compile error
2025-06-05,63.0,235.1,82.31,error: compile error
2025-06-11,66.8,209.8,88.75,error: compile error
2025-06-13,72.2,215.3,83.07,error: compile error
2025-06-03,69.9,224.5,89.12,error: compile error
2025-06-15,67.9,214.3,78.77,error: compile error
2025-06-08,70.3,202.2,81.26,error: compile error
2025-06-08,77.4,238.7,72.52,error: compile error
2025-06-04,79.7,219.0,80.59,error: compile error
2025-06-08,69.4,228.5,73.05,error: compile error
2025-06-16,63.5,208.8,83.39,error: compile error
2025-06-17,63.4,237.2,77.69,error: compile error
2025-06-15,66.5,236.6,81.8,error: compile error
2025-06-12,62.0,210.8,80.57,error: compile error
2025-06-15,64.1,218.6,80.15,error: compile error
2025-06-05,75.6,209.0,82.05,error: compile error
2025-06-02,74.8,202.5,84.53,error: compile error
2025-06-07,78.1,201.6,84.67,error: compile error
2025-06-12,75.4,212.5,72.16,error: compile error
2025-06-14,73.2,231.5,86.31,error: compile error
2025-06-16,74.0,219.1,89.82,error: compile error
2025-06-11,77.2,226.5,93.53,error: compile error
2025-06-05,71.7,210.6,78.14,error: compile error
2025-06-08,76.3,207.7,74.59,error: compile error
2025-06-05,62.8,208.1,81.83,error: compile error
2025-06-15,65.7,220.7,76.36,error: compile error
2025-06-02,74.5,230.6,86.82,error: compile error
2025-06-02,77.6,201.9,93.76,error: compile error
2025-06-12,72.7,236.2,75.11,error: compile error
2025-06-09,68.7,202.8,90.61,error: compile error
2025-06-15,68.1,216.3,75.4,error: compile error
2025-06-13,72.7,209.2,87.59,error: compile error
2025-06-08,68.1,229.5,91.14,error: compile error
2025-06-16,77.1,231.3,70.32,error: compile error
2025-06-02,65.6,234.2,85.67,error: compile error
2025-06-05,79.7,206.7,77.18,error: compile error
2025-06-07,78.1,219.2,70.81,error: compile error
2025-06-07,76.8,206.3,92.99,error: compile error
2025-06-14,64.7,228.1,75.61,error: compile error
2025-06-15,67.4,207.4,86.21,error: compile error
2025-06-15,66.6,222.2,74.6,error: compile error
2025-06-10,79.4,237.6,81.39,error: compile error
2025-06-06,63.1,239.3,77.76,error: compile error
2025-06-09,62.3,210.3,73.37,error: compile error
2025-06-09,79.6,215.4,74.81,error: compile error
2025-06-05,77.0,222.6,83.29,error: compile error
2025-06-12,65.3,214.9,89.43,error: compile error
2025-06-02,72.7,237.0,77.52,error: compile error
2025-06-09,79.4,212.5,93.66,error: compile error
2025-06-07,65.0,200.9,74.26,error: compile error
2025-06-04,69.1,235.6,78.2,error: compile error
2025-06-08,72.7,210.8,83.27,error: compile error
2025-06-01,78.9,200.9,84.86,error: compile error
2025-06-10,60.1,222.1,76.0,error: compile error
2025-06-11,73.6,229.3,90.1,error: compile error
2025-06-16,75.8,208.2,92.64,error: compile error
2025-06-08,67.6,208.9,92.83,error: compile error
2025-06-04,74.1,237.0,82.98,error: compile error
2025-06-02,79.1,233.9,92.95,error: compile error
2025-06-17,75.2,222.1,91.81,error: compile error
2025-06-05,72.3,209.5,93.89,error: compile error
2025-06-11,73.4,228.8,91.01,error: compile error
2025-06-10,63.3,208.0,76.34,error: compile error
2025-06-14,78.3,206.4,76.0,error: compile error
2025-06-15,62.5,237.3,88.22,error: compile error
2025-06-13,71.2,229.2,75.11,error: compile error
2025-06-06,79.1,222.0,91.63,error: compile error
2025-06-04,74.2,220.3,94.81,error: compile error
2025-06-14,75.1,224.7,92.93,error: compile error
2025-06-03,73.5,237.6,86.4,error: compile error
2025-06-01,67.5,220.8,78.15,error: compile error
2025-06-11,67.4,227.8,75.44,error: compile error
2025-06-13,67.4,238.6,77.67,error: compile error
2025-06-17,64.2,216.9,85.37,error: compile error
2025-06-13,75.4,229.1,75.67,error: compile error
2025-06-01,75.4,201.2,75.61,error: compile error
2025-06-16,67.7,209.6,77.14,error: compile error
2025-06-12,62.7,230.0,85.58,error: compile error
2025-06-07,73.2,235.0,93.71,error: compile error
2025-06-11,75.9,205.7,89.66,error: compile error
2025-06-06,64.5,209.8,77.5,error: compile error
2025-06-01,77.2,229.1,76.5,error: compile error
2025-06-02,78.9,217.8,84.95,error: compile error
2025-06-16,66.4,231.2,87.63,error: compile error
2025-06-13,78.8,234.0,94.58,error: compile error
2025-06-08,76.1,214.5,72.75,error: compile error
2025-06-03,66.7,223.2,73.55,error: compile error
2025-06-03,63.9,217.0,94.63,error: compile error
2025-06-06,78.6,223.7,83.92,error: compile error
2025-06-06,71.5,235.2,90.83,error: compile error
2025-06-04,60.2,238.1,82.17,error: compile error
2025-06-08,75.3,213.6,84.22,error: compile error
2025-06-14,74.7,210.1,77.72,error: compile error
2025-06-06,62.9,238.3,91.39,error: compile error
2025-06-10,75.2,223.0,78.54,error: compile error
2025-06-10,65.0,206.9,81.03,error: compile error
2025-06-04,64.7,235.6,75.57,error: compile error
2025-06-02,61.2,209.1,93.89,error: compile error
2025-06-16,60.1,206.0,90.61,error: compile error
2025-06-07,62.8,235.8,71.77,error: compile error
2025-06-03,67.3,231.2,80.9,error: compile error
2025-06-15,73.4,232.0,80.03,error: compile error
2025-06-05,63.1,200.4,74.81,error: compile error
2025-06-14,77.5,232.8,73.81,error: compile error
2025-06-03,61.7,205.7,73.85,error: compile error
2025-06-09,60.5,204.4,73.69,error: compile error
2025-06-11,73.0,225.7,75.34,error: compile error
2025-06-12,64.4,223.5,88.63,error: compile error
2025-06-04,74.5,216.0,80.45,error: compile error
2025-06-04,79.9,208.3,82.91,error: compile error
2025-06-11,79.6,224.3,93.0,error: compile error
2025-06-05,79.4,237.0,80.28,error: compile error
2025-06-17,61.2,200.0,84.1,error: compile error
2025-06-10,65.1,216.0,85.69,error: compile error
2025-06-13,66.9,210.7,93.43,error: compile error
2025-06-03,62.9,208.1,78.77,error: compile error
2025-06-06,77.2,212.5,90.82,error: compile error
2025-06-14,70.2,202.0,71.01,error: compile error
2025-06-14,66.8,221.0,77.88,error: compile error
2025-06-13,76.3,237.2,78.34,error: compile error
2025-06-08,72.8,223.3,87.07,error: compile error
2025-06-15,64.9,219.9,78.2,error: compile error
2025-06-15,66.0,228.7,72.36,error: compile error
2025-06-11,69.9,239.7,92.97,error: compile error
2025-06-07,63.8,201.5,79.33,error: compile error
2025-06-17,68.4,205.6,77.18,error: compile error
2025-06-04,60.7,207.0,90.64,error: compile error
2025-06-10,68.7,205.3,75.69,error: compile error
2025-06-06,71.5,217.2,83.54,error: compile error
2025-06-13,78.4,234.2,90.59,error: compile error
2025-06-05,61.1,210.0,91.05,error: compile error
2025-06-02,72.6,224.1,93.23,error: compile error
2025-06-10,70.9,213.7,77.12,error: compile error
2025-06-10,68.6,203.8,86.07,error: compile error
2025-06-05,78.8,206.6,76.56,error: compile error
2025-06-13,63.3,234.4,78.4,error: compile error
2025-06-06,76.8,203.6,76.95,error: compile error
2025-06-03,77.4,232.5,80.91,error: compile error
2025-06-08,64.0,213.8,86.88,error: compile error
2025-06-04,73.1,236.7,78.31,error: compile error
2025-06-11,66.5,235.4,77.32,error: compile error
2025-06-10,66.3,207.5,80.92,error: compile error
2025-06-10,77.0,206.1,94.46,error: compile error
2025-06-11,73.2,203.6,93.43,error: compile error
2025-06-04,62.7,224.9,88.07,error: compile error
2025-06-11,78.2,206.2,77.44,error: compile error
2025-06-06,79.3,233.4,78.26,error: compile error
2025-06-16,60.9,225.3,77.99,error: compile error
2025-06-07,62.1,227.8,70.52,error: compile error
2025-06-15,66.2,205.7,80.69,error: compile error
2025-06-02,76.9,228.2,90.76,error: compile error
2025-06-16,63.8,237.6,81.58,error: compile error
2025-06-08,78.0,233.0,80.49,error: compile error
2025-06-06,65.5,238.2,85.6,error: compile error
